Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,NY,2016,"12        ",Female,20,Right-Handed,59,6,6,1,Car,20,0.448,37,Gymnastics,813,497,283,594,914,877,6,"Same length",5,4,"Index finger",August,Summer,No,No,Fruit,Water,Other,8,9,5,"Yes - broadband connection","Text messaging",300,250,20,10,12,3,2,24,24,40,10,15,12,2,"A lot","Graduate degree","Rap/Hip hop",Fly,Rich,Relative,"Wildlife, animals"
USA,NY,2017,"12        ",Female,17,Right-Handed,159,22,152.5,4,"Rail (Train/Tram/Subway)",30,0.435,44,Other,1000,1000,1000,1000,500,500,22,"Same length",850,900,"Ring finger",November,Summer,No,No,Other,"Soft drink (caffeinated)","Mathematics and statistics",7,10,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2016,"12        ",Male,17,Right-Handed,178,25,183,1,Car,12,.369,36,Other,600,350,200,200,700,700,25,"Same length",,56,"Ring finger",April,Spring,No,No,Meat,Water,Other,5,10,3,"Yes - broadband connection","Internet chat or instant messaging",20,25,6,1,2,3,1,30,6,3,117,4,10,5,Some,"Undergraduate degree",Other,"Freeze time",Rich,"Business person","Wildlife, animals"
USA,NY,2019,"12        ",Male,17,Right-Handed,182.9,26.7,198.2,2,"Rail (Train/Tram/Subway)",45,0.31,50,Baseball/Softball,1000,600,700,900,600,999,26.7,"Same length",75,70,"Index finger",October,Summer,No,No,Meat,Water,"Physical education",4,7-8,5,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2017,"6         ",Female,12,Right-Handed,151,23,150,2,Bus,25,0.396,37,Other,930,684,684,524,37,129,24,"Left foot",60,65,"Ring finger",January,Summer,No,No,Fruit,Water,Art,9,11,4,"Yes - broadband connection","Text messaging",9,7,45,10,20,15,3,0,20,17,10,25,1,2,"A lot",Other,Pop,"Freeze time",Happy,Relative,"Wildlife, animals"
USA,NY,2014,"6         ",Female,11,Ambidextrous,154,30,150,3,Bus,10,0.567,54,Baseball/Softball,1000,900,1000,1000,50,720,29,"Right foot",60,60,"Same length",November,Fall,Yes,No,Meat,Coffee,"Physical education",8,13,5,"Yes - other","Internet chat or instant messaging",59,60,8,6,7,10,11,3,14,8,18,0,0,9,"A lot","Graduate degree","Heavy metal",Fly,Happy,"Sports person","International aid"
USA,NY,2021,"12        ",Female,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2013,"12        ",Female,17,Right-Handed,165.5,26,172,2,"Rail (Train/Tram/Subway)",30,.971,48,Other,150,150,250,250,100,100,27,"Left foot",70,75,"Ring finger",July,Summer,No,No,Fruit,Juice,"Mathematics and statistics",6,5,3,"Yes - other","Myspace, Facebook, other social networking sites, or blog",20,20,10,1,20,20,10,0,30,10,40,10,0,5,"A lot","Graduate degree","Rap/Hip hop",Fly,Healthy,"Coach or club leader","International aid"
USA,NY,2018,"12        ",Male,17,Right-Handed,174,29.2,,2,Walk,20,.479,35,Soccer,500,100,100,700,1000,1000,29.2,"Same length",100,100,"Same length",February,Fall,Yes,No,Fruit,Water,Science,4,12,4,"Yes - broadband connection","Internet chat or instant messaging",100,100,12,6,15,8,18,8,10,18,18,0,0,12,"A lot","Graduate degree",Techno/Electronic,"Freeze time",Rich,"Religious figure",Religious
USA,NY,2024,"12        ",Male,18,Right-Handed,185,29,199,2,"Rail (Train/Tram/Subway)",25,0.673,48,Basketball,850,600,900,900,1000,1000,29,"Same length",110,120,"Ring finger",February,Spring,No,No,Poultry,Water,"Computers and technology",7,10,6,"Yes - broadband connection","Text messaging",50,60,30,10,8,21,24,12,48,72,80,12,0,8,"Very little","Graduate degree","Rap/Hip hop",Telepathy,Rich,Relative,Religious
USA,NY,2023,"9         ",Male,15,Right-Handed,178,44,174,1,"Rail (Train/Tram/Subway)",15,.316,35,Baseball/Softball,556,556,374,556,380,556,44,"Right foot",,,"Index finger",June,Fall,No,No,Meat,Water,English,7,9,5,"Yes - broadband connection","In person",,,,,,,,,,,,,,,Some,"Undergraduate degree","Rap/Hip hop",Fly,Happy,Other,"Arts, culture, sports"
USA,NY,2019,"5         ",Female,11,Right-Handed,142,21,148,4,Bus,8,3,4,None,0,0,1,0,1,1,21,"Same length",7,8,"Ring finger",October,Summer,No,No,Soups,Coffee,English,11,13,5,"No internet connection","Cell phone",No,No,2,0,10,10,0,0,0,0,0,5,0,10,"A lot","High school",Other,"Freeze time",Happy,"Doctor or nurse",Health
USA,NY,2018,"6         ",Male,12,Right-Handed,20.0,2.6,6.0,2,Walk,3,0.379,60,Swimming,50,50,95,78,30,15,22,"Same length",7.0,7.0,"Same length",January,Summer,No,No,Meat,Water,,9,7,3,"Yes - other",Other,0,0,8,0,1,3,2,4,1,2,0,2,1,0,Some,"Graduate degree",Techno/Electronic,"Freeze time",Rich,Other,Other
USA,NY,2018,"10        ",Male,15,Right-Handed,160.5,25.3,171,3,"Rail (Train/Tram/Subway)",55,0.347,52,"Martial Arts",800,800,800,800,800,1000,25.3,"Same length",85,90,"Ring finger",October,Spring,No,No,Fruit,Water,"Mathematics and statistics",8,9,5,"Yes - broadband connection","Text messaging",0,0,0,0.01,4,0,0,0,1,1,4,0,0,1,Some,"Graduate degree",Classical,Fly,Happy,Friend,"International aid"
USA,NY,2017,"12        ",Female,18,Ambidextrous,174,25,175,4,"Rail (Train/Tram/Subway)",25,.45,42,Tennis,765,635,600,600,700,900,25,"Same length",90,97,"Ring finger",May,Spring,Yes,No,Meat,Water,Music,7.5,9,4,"Yes - broadband connection","Text messaging",20,15,10,2,6,20,6,3,14,36,40,28,3,4,Some,"Graduate degree",Pop,Fly,Happy,"Musician or singer",Health
USA,NY,2016,"12        ",Female,17,Right-Handed,160,21,160,2,"Rail (Train/Tram/Subway)",45,.432,55,Athletics,900,700,900,1000,100,400,20.5,"Right foot",93,96,"Ring finger",January,Summer,Yes,No,Pizza/Pasta,Water,Science,4,11,4,"Yes - other","Cell phone",0,2,12,0,24,20,10,0,48,48,72,0,0,0,"A lot","Graduate degree",Pop,"Freeze time",Happy,"Doctor or nurse",Health
USA,NY,2019,"12        ",Male,17,Right-Handed,168,24,170,2,"Rail (Train/Tram/Subway)",45,.63,36,Other,1000,1000,1000,900,300,600,24,"Same length",95,93,"Index finger",December,Summer,Yes,No,"No favorite",Water,Science,7,10,5,"Yes - broadband connection","Internet chat or instant messaging",20,30,13,1,21,10,10,5,3,3,25,1,0,1,Some,"Graduate degree","Rap/Hip hop",Fly,Happy,"Community leader or elder",Health
USA,NY,2015,"11        ",Female,16,Right-Handed,151,20,151,3,Car,20,.313,29,Soccer,262,182,118,321,722,786,20,"Same length",7,6,"Index finger",August,Fall,No,No,Meat,"Soft drink (caffeinated)","Computers and technology",7,7,4,"Yes - other","Text messaging",100,120,6,2,3,2,3,5,6,10,7,0,0,1,"A lot","Graduate degree","Heavy metal",Invisibility,Happy,Other,"Education/Youth development"
USA,NY,2015,"6         ",Female,12,Right-Handed,156,17,152,1,Bus,60,.426,76,Dancing,1000,1000,1000,1000,0,0,20,"Left foot",70,64,"Index finger",December,Summer,No,No,Desserts,Water,Science,5,10,4,"No internet connection","In person",0,0,5,0,4,780,6,2,0,0,4,7,0,89,"Very little","High school",Pop,Invisibility,Famous,"Musician or singer",Environment
USA,NY,2019,"10        ",Female,15,Right-Handed,176,25.5,180,2,Bus,15,.461,55,Tennis,500,200,100,100,1000,1000,25.5,"Same length",8.3,7,"Index finger",August,Spring,Yes,No,Meat,Water,History,8,8,2,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",100,150,50,30,2,20,1,1,100,100,50,50,0,0,Some,"Graduate degree","Rap/Hip hop",Invisibility,Rich,Actor,"Wildlife, animals"
USA,NY,2021,"11        ",Female,17,Right-Handed,160,22,158,1,"Rail (Train/Tram/Subway)",65,0.393,37,Running/Jogging,1000,750,500,500,1000,1000,21,"Right foot",72,71,"Index finger",December,Winter,No,No,Fruit,Water,English,6,9,4,"Yes - broadband connection","In person",150,160,5,10,40,10,3,0,7,7,60,3,0,5,"A lot","Graduate degree",Other,"Freeze time",Happy,Relative,"Education/Youth development"
USA,NY,2018,"12        ",Female,18,Right-Handed,166,23,167,2,"Rail (Train/Tram/Subway)",30,0.59,47,Other,706,727,497,647,1000,1000,23,"Same length",85,92,"Ring finger",January,Winter,Yes,No,Meat,Water,"Mathematics and statistics",6,9,3,"Yes - broadband connection","Text messaging",10,10,20,3,21,0,4,15,9,24,42,20,12,2,Some,"Graduate degree",Pop,"Freeze time",Happy,Actor,Health
USA,NY,2018,"6         ",Female,11,Left-Handed,,,,3,Walk,5,0.416,53,Soccer,701,717,433,824,1000,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2021,"12        ",Male,18,Right-Handed,5.7,8,"5 fee",4,Bus,"30 m","0.76 ","46 s",Swimming,,,,,,,8,"Same length",1.10,"2 cm","Index finger",February,Spring,No,Yes,Meat,"Energy drink",Music,7,10,5,"Yes - other","Myspace, Facebook, other social networking sites, or blog",100+,100+,"10 ho","35 h","3 h",15h,14h,20h,15h,5h,1h,0,15h,"10 h",Some,"Graduate degree",Classical,"Super strength",Happy,"Religious figure",Religious
USA,NY,2023,"11        ",Male,17,Right-Handed,170,,,3,"Rail (Train/Tram/Subway)",40,0.31,30,"Martial Arts",904,791,797,904,1000,1000,,"Same length",,,"Same length",March,Winter,No,No,"No favorite",Water,"Computers and technology",7,9,4,"Yes - broadband connection","Text messaging",500,1000,4,4,10,10,8,9,25,20,25,3,0,10,Some,"Some college",Pop,"Freeze time",Healthy,Relative,"Education/Youth development"
USA,NY,2017,"12        ",Male,17,Right-Handed,183,27,190,2,"Rail (Train/Tram/Subway)",50,.338,47,"Hockey (Ice)",663,503,797,727,1000,1000,27,"Same length",100,105,"Ring finger",June,Summer,No,No,Poultry,Water,"Social studies",7,10,4,"Yes - broadband connection","Cell phone",75,300,20,2,3,10,10,5,20,5,10,10,0,2,Some,"Undergraduate degree","Rock and roll",Telepathy,Happy,Relative,"International aid"
USA,NY,2024,"12        ",Male,17,Left-Handed,174,25,171,1,Car,10,.274,32,Soccer,460,802,134,251,824,1000,25,"Same length",34,30,"Index finger",August,Fall,No,No,Meat,Water,"Physical education",6,8,4,"Yes - other","In person",200,400,10,3,2,10,14,3,20,10,80,4,0,6,Some,"Some college",Pop,Fly,Happy,Relative,Health
USA,NY,2016,"12        ",Male,17,Right-Handed,170,23,170,1,"Rail (Train/Tram/Subway)",25,.416,39,Walking/Hiking,950,875,560,800,600,700,24,"Left foot",70,75,"Ring finger",April,Fall,Yes,No,Meat,Water,Science,7,10,4,"Yes - broadband connection","In person",2,2,15,0,1,10,6,0,2,0,6,6,0,1,"Very little","Graduate degree",Jazz,"Freeze time",Happy,Relative,Environment
USA,NY,2020,"6         ",Male,12,Ambidextrous,738,23,58,1,Car,25,0.372,40,Basketball,1000,900,300,600,1000,1000,23,"Same length",76,78,"Ring finger",April,Winter,No,No,Seafood,Juice,Art,9,10,4/5,"Yes - other","Internet chat or instant messaging",27,54,6,5,6,10,3,20,0,1,5,10,1,6,"Very little","Graduate degree",Techno/Electronic,"Freeze time",Happy,Relative,Health
USA,NY,2020,"12        ",Female,17,Right-Handed,164.5,22.86,152.4,2,Car,"4 ",0.838,"32 ",Dancing,727,674,722,706,449,465,22.35,"Left foot",7.874,7.112,"Index finger",January,Summer,Yes,No,Salads,Coffee,"Social studies",6,7,4,"Yes - other","Text messaging",50,50,20,4,5,7,15,0,3,2,1,0,22,2,Some,"Undergraduate degree",Country,Invisibility,Happy,Relative,Health
USA,NY,2020,"10        ",Female,16,Right-Handed,157.4,22.86,143.2,1,Bus,10,.497,49,Lacrosse,50,1000,800,100,50,50,23.52,"Left foot",76.2,80.9,"Ring finger",April,Fall,Yes,No,Pizza/Pasta,"Soft drink (caffeinated)",English,8,12,4,"Yes - other","Myspace, Facebook, other social networking sites, or blog",15,5,20,2,5,3,2,0,7,4,2,3,0,2,"A lot","Graduate degree",Country,Fly,Happy,Friend,Other
USA,NY,2023,"10        ",Male,16,Right-Handed,178,,,2,"Rail (Train/Tram/Subway)",50,.31,43,Athletics,631,385,289,289,128,198,,"Left foot",,,,February,Winter,No,No,Pizza/Pasta,Water,"Physical education",7,9,4,"Yes - broadband connection","Internet chat or instant messaging",50,60,7,1,15,5,10,3,2,2,4,2,0,4,"A lot",Other,"Rap/Hip hop",Invisibility,Healthy,"Sports person",Health
USA,NY,2021,"12        ",Female,17,Right-Handed,168,24.6,168,2,Car,15,0.324,50,Soccer,1000,1000,1000,1000,1000,1000,24.6,"Same length",70,50,"Same length",March,Fall,No,No,Soups,Water,History,8,9,6,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",100,20,6,6,6,6,,,,,,,,,,,,,,,
USA,NY,2024,"12        ",Male,54,Right-Handed,177.8,26,180,2,Car,7,0.426,68,Walking/Hiking,100,150,120,300,180,180,28,"Left foot",8,7.5,"Index finger",January,Fall,Yes,No,Meat,Water,History,8,8,4,"Yes - broadband connection","In person",4,8,0,0,0,4,1,0,0,0,40,16,40,17,None,"Graduate degree",Pop,"Freeze time",Healthy,Relative,Religious
USA,NY,2024,"11        ",Male,16,Right-Handed,185.4,426.7,197.4,4,Walk,23,0.329,29,"Martial Arts",400,600,500,700,750,700,411.4,"Right foot",70cm,54cm,"Index finger",January,Winter,Yes,No,Meat,Water,Art,8,6,4,"Yes - other","In person",54,87,19,25,4,23,15,25,25,13,19,3,14,3,Some,"Graduate degree","Rap/Hip hop","Super strength",Happy,Friend,"Arts, culture, sports"
USA,NY,2022,"9         ",Female,14,Right-Handed,163,24,165,2,Walk,15,0.319,41,Other,700,1000,100,300,95,5,24,"Same length",8.3,9.4,"Ring finger",May,Spring,No,No,Meat,Milk,"Physical education",5,2,9,"Yes - dial-up connection","Text messaging",75,89,6,10,2,7,4,1,7,9,10,11,3,4,"A lot","Some college",Country,Telepathy,Rich,"Sports person",Health
USA,NY,2019,"10        ",Female,16,Ambidextrous,65,21,156,1,Walk,15,.489,60,Gymnastics,200,400,100,100,500,1000,20.5,"Right foot",6.5,6,"Index finger",March,Spring,Yes,No,Pizza/Pasta,Juice,Science,6,8,4,,"Text messaging",150,100,34,2,14,1,3,9,10,10,10,5,3,1,Some,"Graduate degree",Classical,Telepathy,Happy,"Business person","Wildlife, animals"
USA,NY,2018,"11        ",Male,18,Right-Handed,57,8,184.4,2,"Rail (Train/Tram/Subway)","55 ",0.082,47,Baseball/Softball,75,1000,1000,1000,455,481,8,"Same length",6,6,"Same length",January,Winter,Yes,No,"No favorite",,Art,6,6,3,"Yes - other","Cell phone",2,45,24,1,1,24,24,1,1,1,1,1,1,1,Some,"Some college","Rap/Hip hop","Freeze time",Happy,"Sports person",Health
USA,NY,2024,"11        ",Male,17,Right-Handed,171,24,174,1,Car,40,.741,40,Golf,1000,,,,,750,24,"Same length",70,70,"Same length",June,Summer,No,No,"Rice/Noodle dishes","Soft drink (caffeinated)","Mathematics and statistics",,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2024,"12        ",Female,18,Right-Handed,163,22,162,2,"Rail (Train/Tram/Subway)",40,0.336,64,Other,300,200,100,100,200,100,22,"Same length",85,83,"Index finger",June,Spring,Yes,No,"Rice/Noodle dishes","Soft drink (non-caffeinated)","Computers and technology",5,3,5,"Yes - broadband connection","Text messaging",500,200,20,15,5,5,2,3,2,10,20,10,0,2,Some,"Undergraduate degree","Rhythm and blues (R&B)",Invisibility,Rich,Relative,"Wildlife, animals"
USA,NY,2017,"12        ",Male,18,Ambidextrous,184,27,185,3,"Rail (Train/Tram/Subway)",120,.363,61,Cycling,1000,1000,600,300,1000,1000,27,"Same length",80,80,"Same length",March,Winter,Yes,No,Poultry,Water,History,5,8,5,"Yes - broadband connection","In person",5,3,1,1,12,1,1,1,1,1,1,1,1,1,"A lot","Graduate degree","Rap/Hip hop",Invisibility,Happy,"Sports person","Arts, culture, sports"
USA,NY,2024,"10        ",Male,15,Ambidextrous,180,25,160,2,"Rail (Train/Tram/Subway)",45,",35",45,"Martial Arts",0,0,0,0,492,663,26,"Left foot",10,9,"Index finger",June,Winter,No,No,Meat,Milk,Art,6,12,3,"Yes - other","In person",10,15,10,5,2,10,0,0,3,1,1,0,30,1,None,"Less than high school",Other,Fly,Healthy,"Religious figure","International aid"
USA,NY,2018,"12        ",Female,18,Right-Handed,146,20,,3,Bus,30,.447,32,Dancing,950,900,900,800,1000,1000,20,"Same length",760,750,"Index finger",January,,Yes,No,"Rice/Noodle dishes",Water,"Social studies",6,9,4,"Yes - broadband connection","Text messaging",100,150,6,3,10,13,4,1,18,12,36,3,12,10,"A lot","Graduate degree",Pop,,Rich,Relative,"International aid"
USA,NY,2016,"12        ",Female,17,Right-Handed,157,24,152,3,"Rail (Train/Tram/Subway)",60,.7,47,"Table Tennis",900,1000,999,800,1000,999,23,"Right foot",70,6.5,"Index finger",March,Fall,No,No,Seafood,Coffee,Art,6,10,3,"Yes - other","Cell phone",3,6,10,2,7,4,2,0,3,1,20,20,8,2,Some,"Graduate degree",Jazz,Fly,Happy,Teacher,Health
USA,NY,2014,"12        ",Female,17,Right-Handed,158,21,155,2,Bus,5,.821,47,Soccer,940,950,800,920,500,800,21,"Left foot",85,90,"Ring finger",May,Fall,Yes,No,Meat,Water,"Physical education",7,4,6,"Yes - other","Myspace, Facebook, other social networking sites, or blog",200,180,50,1,6,7,14,1,98,100,105,8,0,7,"A lot","Graduate degree","Rap/Hip hop","Freeze time",Happy,"Musician or singer","Wildlife, animals"
USA,NY,2019,"12        ",Female,18,Right-Handed,160,23,156,2,"Rail (Train/Tram/Subway)",48,0.793,56,Bowling,850,700,650,600,500,950,23,"Same length",71,71,"Same length",April,Spring,No,No,"Rice/Noodle dishes",Water,Art,5,8,3,"Yes - broadband connection","Text messaging",10,10,18,.5,12,2,0,0,10,8,63,10,15,0,"A lot","Graduate degree",Pop,Fly,Happy,"Musician or singer",Environment
USA,NY,2014,"12        ",Female,17,Left-Handed,158,20,148,1,Car,14,.33,32,Soccer,888,558,930,766,294,412,20,"Same length",6.6,7.1,"Ring finger",April,Summer,No,No,Pizza/Pasta,Water,Science,6,10,6,"Yes - broadband connection","In person",20,40,15,1,7,7,4,0,5,10,2,10,0,3,"Very little","Graduate degree","Rap/Hip hop",Telepathy,Happy,Relative,"Education/Youth development"
USA,NY,2024,"11        ",Female,16,Right-Handed,5'7,,,1,Car,5-10,0.479,44,Other,321,615,615,1000,144,866,,,,,,May,Summer,No,No,Pizza/Pasta,"Soft drink (non-caffeinated)","Mathematics and statistics",,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2013,"12        ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2017,"7         ",Male,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2019,"12        ",Male,17,Right-Handed,173,26,176,1,Bus,30,.375,40,Athletics,950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2024,"12        ",Female,16,Right-Handed,152,22,150,2,"Rail (Train/Tram/Subway)",45,.55,90,Swimming,791,824,519,492,214,481,23,"Left foot",80,70,"Index finger",October,Summer,No,No,"No favorite",Water,History,6,8,4,"Yes - broadband connection","In person",150,170,4,0,15,20,0,0,10,3,20,10,0,7,"A lot","Graduate degree",Pop,"Freeze time",Rich,Relative,"International aid"
USA,NY,2011,"12        ",Male,17,Right-Handed,181,27,186,3,Bus,15,.282,34,Other,1000,800,700,,800,1000,28,"Left foot",950,980,"Ring finger",April,Winter,Yes,No,"No favorite",Water,Music,4,4,4,"Yes - broadband connection","Text messaging",1000,1000,20,0,2,2,7,5,1,3,7,0,30,6,"Very little","Graduate degree",Other,Telepathy,Happy,"Religious figure",Health
USA,NY,2019,"5         ",Female,11,Right-Handed,109,21,138,1,Bus,10,2.426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2015,"12        ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2018,"12        ",Female,17,Right-Handed,162,10,170,4,"Rail (Train/Tram/Subway)",75,0.396,36,Basketball,476,225,487,246,1000,1000,10,"Same length",100,118,"Ring finger",November,Spring,No,No,"No favorite",Water,"Mathematics and statistics",5.5,10,6,"Yes - broadband connection","Cell phone",40,70,15,8,21,4,20,2,10,14,14,7,25,6,"A lot","Graduate degree","Rhythm and blues (R&B)",Fly,Happy,Other,"International aid"
USA,NY,2016,"12        ",Female,19,Right-Handed,51,7.5,,2,Car,"5 ",0.813,85,Baseball/Softball,1000,1000,1000,1000,1000,1000,7.5,"Right foot",,,"Ring finger",December,Fall,No,No,Pizza/Pasta,Water,"Mathematics and statistics",8,10,5,"Yes - broadband connection","Text messaging",20,30,,,,,,,,,,,,,Some,"Graduate degree","Rap/Hip hop",Telepathy,Healthy,Other,Health
USA,NY,2024,"12        ",Female,17,Right-Handed,165,22,160,5,Car,20,0.69,30,Baseball/Softball,,,,,,,22,"Same length",6.9,7.8,"Ring finger",June,Summer,No,No,Meat,Water,Science,7,8,4,"Yes - broadband connection","Cell phone",70,15,2,60,4,10,3,0,15,4,60,4,30,15,Some,"Graduate degree",Country,Fly,Happy,"Religious figure",Religious
USA,NY,2024,"12        ",Female,17,Right-Handed,163,22,163,1,Car,5,.23,,Dancing,50,45,80,95,70,98,22,"Same length",,,,May,Fall,No,No,Poultry,Coffee,Music,7.5,8,4,"Yes - broadband connection","Text messaging",7,10,2,5,9,1,0,0,6,2,15,10,0,7,"A lot","Graduate degree",Jazz,Telepathy,Happy,"Coach or club leader","Arts, culture, sports"
USA,NY,2019,"12        ",Female,17,Right-Handed,,,,1,Car,15,0.871,39,Walking/Hiking,1000,500,800,700,0,10,,"Left foot",,,"Ring finger",October,Fall,Yes,No,Pizza/Pasta,Water,"Social studies",7,10,5,"Yes - other","Text messaging",10,20,10,2,15,14,15,0,18,20,36,0,0,2,"A lot","Graduate degree","Rap/Hip hop",Invisibility,Happy,Relative,"Education/Youth development"
USA,NY,2021,"11        ",Male,17,Right-Handed,174,26,182,1,"Rail (Train/Tram/Subway)",40,0.374,41,Bowling,930,914,813,834,888,738,27,"Left foot",8,8,"Ring finger",February,Winter,No,No,Pizza/Pasta,Water,"Computers and technology",5,10,2,"Yes - broadband connection","Internet chat or instant messaging",0,0,3,0,2,1,0,6,1,1,10,0,0,1,"A lot","Graduate degree",Techno/Electronic,"Freeze time",Happy,Other,Environment
USA,NY,2014,"12        ",Male,18,Right-Handed,178,26,179,2,Walk,5,0.339,43,Swimming,600,700,600,700,1000,1000,25,"Right foot",80,73,"Ring finger",April,Fall,No,No,Meat,Water,"Social studies",7,9,3,"Yes - other","Internet chat or instant messaging",0,0,25,2,15,6,8,2,3,24,14,5,0,0,Some,"Undergraduate degree","Rhythm and blues (R&B)",Fly,Rich,Other,Health
USA,NY,2015,"6         ",Female,12,Right-Handed,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2020,"8         ",Male,13,Right-Handed,99,23,152,1,Bus,23,.452,50,Swimming,1000,600,800,1000,1000,1000,22,"Right foot",70,73,"Ring finger",July,Winter,Yes,No,Desserts,Water,"Computers and technology",7,4,4,"Yes - other","Internet chat or instant messaging",70,80,0,0,0,10,0,30,4,2,34,0,0,1,"Very little","Graduate degree",Other,Invisibility,Rich,Relative,Health
USA,NY,2018,"6         ",Female,11,Right-Handed,156,25,147,3,Walk,4,18,69,Soccer,,,,,,,25,"Same length",80,60,"Index finger",May,Spring,Yes,No,Seafood,Water,History,8,8,4,"Yes - broadband connection","Text messaging",100,80,2,1,1,2,2,1,0,4,2,1,0,3,None,"Graduate degree",Country,Invisibility,Happy,"Sports person","Arts, culture, sports"
USA,NY,2024,"12        ",Female,18,Right-Handed,153,23,163,2,"Rail (Train/Tram/Subway)",45,0.663,58,Other,1000,1000,1000,1000,1000,1000,23,"Same length",66,70,"Ring finger",February,Winter,No,No,Desserts,Water,Other,6,9,5,"Yes - broadband connection","Internet chat or instant messaging",200,50,25,1,30,10,3,5,35,35,35,0,0,10,"A lot","Undergraduate degree",Other,Telepathy,Happy,Other,Health
USA,NY,2017,"6         ",Female,11,Right-Handed,150,22,143,1,Bus,25,1.744,34,Dancing,390,107,508,572,289,203,24,"Left foot",67,65,"Index finger",June,Summer,Yes,No,"No favorite",Water,History,9.5,9,4,"Yes - other","Text messaging",20,40,10,0.5,4,15,2,1,11,4,2,4,0,1,Some,"Graduate degree",Pop,Fly,Happy,Relative,Health
USA,NY,2012,"6         ",Male,12,Right-Handed,188,29,206,2,Bus,30,0.37,42,Basketball,0,802,1000,1000,950,1000,30,"Left foot",10,11,"Ring finger",November,Summer,No,No,"No favorite",Other,"Mathematics and statistics",8,10,4,"Yes - broadband connection","In person",0,0,9.35,1,2.30,7,5,6,3,1,4,4,0,7,"Very little","Graduate degree",Other,"Freeze time",Happy,"Sports person",Health
USA,NY,2013,"8         ",Female,13,Left-Handed,,,,1,Car,5,1.353,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2016,"11        ",Female,17,Right-Handed,168,23,173,1,Bus,15,.363,40,Other,600,500,800,300,200,200,24,"Left foot",70,70,"Same length",April,Fall,Yes,No,Pizza/Pasta,Water,Science,8,12,5,"Yes - broadband connection","Text messaging",30,35,5,0,6,3,12,0,3,2,4,6,12,3,Some,"Graduate degree",Pop,Fly,Happy,Relative,Health
USA,NY,2023,"10        ",Female,15,Right-Handed,,,,3,"Rail (Train/Tram/Subway)",41,.43,36,"Martial Arts",738,663,642,620,701,834,,,,,,November,Fall,Yes,No,Fruit,Tea,Science,8,10,5,"Yes - broadband connection","Text messaging",133,158,6,3,28,10,3,1,5,5,29,12,0,7,Some,"Graduate degree",Pop,Fly,Happy,Relative,"Arts, culture, sports"
USA,NY,2015,"12        ",Female,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
