Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,NY,2024,"12        ",Male,17,Right-Handed,177,26,187,1,Car,10,0.295,65,Golf,914,1000,1000,909,91,690,27,"Left foot",11,8,"Index finger",March,Summer,No,No,Meat,Water,"Physical education",7,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2023,"11        ",Female,16,Right-Handed,149,,,2,Car,15,0.654,40,Walking/Hiking,600,600,900,900,900,900,,,,,"Ring finger",October,Winter,No,No,Poultry,Water,English,8,10,8,"Yes - dial-up connection","Myspace, Facebook, other social networking sites, or blog",,,,,4,,,,,,8,,,,Some,"Graduate degree",Pop,Invisibility,Rich,Other,"International aid"
USA,NY,2017,"6         ",Female,12,Ambidextrous,165,24,172,2,"Rail (Train/Tram/Subway)",20,0.594,43,Swimming,1000,583,754,754,460,508,24,"Same length",66,67,"Ring finger",December,Spring,No,No,Poultry,Water,Music,7,11,3,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",0,0,5,0,10,48,4.5,0,15,0,5,3,0,3,"A lot","Graduate degree","Rap/Hip hop",Telepathy,Rich,"Sports person","Arts, culture, sports"
USA,NY,2023,"12        ",Female,19,Right-Handed,5’5,25.4,147,1,Car,12,.4,40,Gymnastics,600,850,1000,700,700,950,25.7,"Left foot",73,70,"Index finger",July,Fall,Yes,No,Breads/Sandwiches,Water,"Mathematics and statistics",8,9,5,"Yes - other","Text messaging",25,32,18,6,5,12,2,0,5,5,12,5,35,5,Some,"Graduate degree",Country,Telepathy,Happy,"Musician or singer",Health
USA,NY,2013,"12        ",Female,16,Right-Handed,171,25,171,1,Car,14,.275,35,Walking/Hiking,786,690,695,770,630,700,24,"Right foot",95,100,"Ring finger",January,Spring,Yes,No,"Rice/Noodle dishes",Water,Science,8,7,2,"Yes - broadband connection","Text messaging",10,10,2,0,6,2,11,0,4,3,3,1,0,3,Some,"Undergraduate degree",Classical,"Freeze time",Happy,Other,Environment
USA,NY,2021,"12        ",Female,17,Right-Handed,160,107,153,2,Bus,30,0.383,39,Other,700,499,900,500,600,1000,91,"Same length",55,65,"Ring finger",September,Fall,Yes,No,Poultry,Water,"Computers and technology",4,11,3,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",50,30,8,1,24,0,10,20,7,3,20,0,0,4,"A lot",Other,"Rhythm and blues (R&B)",Telepathy,Happy,Relative,Health
USA,NY,2021,"11        ",Female,17,Right-Handed,"172 ",23.5,174,23.5,"Rail (Train/Tram/Subway)",45,475,39,Dancing,631,1000,503,711,1000,1000,24,"Left foot",7.3,7.5,"Ring finger",March,Winter,No,No,Breads/Sandwiches,Coffee,Science,6,10,4,"Yes - broadband connection","In person",50,50,7,0.5,28," 2",29,0,10,8,50,6,0,8,"A lot","Graduate degree","Punk rock",Telepathy,Rich,Teacher,"International aid"
USA,NY,2021,"11        ",Male,16,Left-Handed,175,27,171,2,"Rail (Train/Tram/Subway)",80,0.22,37,Cycling,900,800,700,700,500,600,27,"Same length",7,8,"Ring finger",March,Fall,No,No,Meat,Water,Music,6,10,4,"Yes - broadband connection","Text messaging",60,60,20,,,,,,,,,,,,,,,,,,
USA,NY,2024,"12        ",Male,17,Right-Handed,173,26,171,1,Bus,20,.331,56,Walking/Hiking,144,503,16,0,900,1000,26,"Same length",88,75,"Index finger",March,Winter,No,No,Meat,Tea,History,7,10,3,"Yes - other","Internet chat or instant messaging",0,2,0,1,4,8,1,20,15,1,25,1,0,4,"A lot","Undergraduate degree","Rock and roll","Freeze time",Happy,"Religious figure",Religious
USA,NY,2013,"8         ",Male,13,Right-Handed,144,24,154,1,Other,10,.375,39,Lacrosse,385,736,638,932,567,621,9.4,"Right foot",76.2,82.4,"Ring finger",June,Spring,No,No,Desserts,Water,English,9,11,4,"Yes - broadband connection","Text messaging",0,0,2,.3,13,5,5,15,0,.2,1,4,0,0,Some,Other,Other,"Freeze time",Happy,Other,Health
